case_id,platform,tested_at,actual_response,result,notes
R01,,,,NOT_RUN,
R02,,,,NOT_RUN,
R03,,,,NOT_RUN,
R04,,,,NOT_RUN,
R05,,,,NOT_RUN,
R06,,,,NOT_RUN,
R07,,,,NOT_RUN,
R08,,,,NOT_RUN,
R09,,,,NOT_RUN,
R10,,,,NOT_RUN,
R11,,,,NOT_RUN,
R12,,,,NOT_RUN,
R13,,,,NOT_RUN,
R14,,,,NOT_RUN,
R15,,,,NOT_RUN,
R16,,,,NOT_RUN,
R17,,,,NOT_RUN,
R18,,,,NOT_RUN,
R19,,,,NOT_RUN,
R20,,,,NOT_RUN,
R21,,,,NOT_RUN,
R22,,,,NOT_RUN,
R23,,,,NOT_RUN,
R24,,,,NOT_RUN,
A01,,,,NOT_RUN,
A02,,,,NOT_RUN,
A03,,,,NOT_RUN,
A04,,,,NOT_RUN,
A05,,,,NOT_RUN,
A06,,,,NOT_RUN,
A07,,,,NOT_RUN,
A08,,,,NOT_RUN,
A09,,,,NOT_RUN,
A10,,,,NOT_RUN,
